rank,player,club,nationality,points,year,percent,position
8.0,Arjen Robben,Bayern Munich,Netherlands,85.0,2013,1.77,
9.0,Gareth Bale,Tottenham Hotspur~~~Real Madrid,Wales,65.0,2013,1.32,
10.0,Andrea Pirlo,Juventus,Italy,70.0,2013,1.11,
11.0,Radamel Falcao,Atlético Madrid~~~Monaco,Colombia,53.0,2013,1.08,
12.0,Yaya Touré,Manchester City,Ivory Coast,48.0,2013,0.99,
13.0,Robert Lewandowski,Borussia Dortmund,Poland,43.0,2013,0.92,
14.0,Philipp Lahm,Bayern Munich,Germany,40.0,2013,0.82,
14.0,Xavi,Barcelona,Spain,40.0,2013,0.82,
16.0,Mesut Özil,Real Madrid~~~Arsenal,Germany,35.0,2013,0.71,
17.0,Bastian Schweinsteiger,Bayern Munich,Germany,21.0,2013,0.43,
17.0,Thomas Müller,Bayern Munich,Germany,21.0,2013,0.43,
19.0,Luis Suárez,Liverpool,Uruguay,19.0,2013,0.39,
20.0,Edinson Cavani,Napoli~~~Paris Saint-Germain,Uruguay,12.0,2013,0.36,
21.0,Thiago Silva,Paris Saint-Germain,Brazil,12.0,2013,0.24,
22.0,Eden Hazard,Chelsea,Belgium,8.0,2013,0.16,
23.0,Manuel Neuer,Bayern Munich,Germany,4.0,2013,0.08,
1.0,Cristiano Ronaldo,Real Madrid,Portugal,,2014,37.66,
2.0,Lionel Messi,Barcelona,Argentina,,2014,15.76,
3.0,Manuel Neuer,Bayern Munich,Germany,,2014,15.72,
4.0,Arjen Robben,Bayern Munich,Netherlands,,2014,7.17,
5.0,Thomas Müller,Bayern Munich,Germany,,2014,5.42,
6.0,Philipp Lahm,Bayern Munich,Germany,,2014,2.9,
7.0,Neymar,Barcelona,Brazil,,2014,2.21,
8.0,James Rodríguez,Monaco~~~Real Madrid,Colombia,,2014,1.47,
9.0,Toni Kroos,Bayern Munich~~~Real Madrid,Germany,,2014,1.43,
10.0,Ángel Di María,Real Madrid~~~Manchester United,Argentina,,2014,1.29,
11.0,Diego Costa,Atlético Madrid~~~Chelsea,Spain,,2014,1.02,
12.0,Gareth Bale,Real Madrid,Wales,,2014,1.0,
13.0,Zlatan Ibrahimović,Paris Saint-Germain,Sweden,,2014,1.0,
14.0,Yaya Touré,Manchester City,Ivory Coast,,2014,0.86,
15.0,Mario Götze,Bayern Munich,Germany,,2014,0.84,
16.0,Karim Benzema,Real Madrid,France,,2014,0.75,
17.0,Andrés Iniesta,Barcelona,Spain,,2014,0.67,
18.0,Bastian Schweinsteiger,Bayern Munich,Germany,,2014,0.57,
19.0,Javier Mascherano,Barcelona,Argentina,,2014,0.55,
20.0,Thibaut Courtois,Atlético Madrid~~~Chelsea,Belgium,,2014,0.51,
21.0,David Luiz,Chelsea,Brazil,,2014,0.47,
22.0,Paul Pogba,Juventus,France,,2014,0.4,
23.0,Sergio Ramos,Real Madrid,Spain,,2014,0.33,
1.0,Lionel Messi,Barcelona,Argentina,,2015,41.33,
2.0,Cristiano Ronaldo,Real Madrid,Portugal,,2015,27.76,
3.0,Neymar,Barcelona,Brazil,,2015,7.86,
4.0,Robert Lewandowski,Bayern Munich,Poland,,2015,4.17,
5.0,Luis Suárez,Barcelona,Uruguay,,2015,3.38,
6.0,Thomas Müller,Bayern Munich,Germany,,2015,2.21,
7.0,Manuel Neuer,Bayern Munich,Germany,,2015,1.97,
8.0,Eden Hazard,Chelsea,Belgium,,2015,1.33,
9.0,Andrés Iniesta,Barcelona,Spain,,2015,1.24,
10.0,Alexis Sánchez,Arsenal,Chile,,2015,1.18,
11.0,Zlatan Ibrahimović,Paris Saint-Germain,Sweden,,2015,1.13,
12.0,Yaya Touré,Manchester City,Ivory Coast,,2015,0.89,
13.0,Sergio Agüero,Manchester City,Argentina,,2015,0.86,
14.0,Javier Mascherano,Barcelona,Argentina,,2015,0.79,
15.0,Paul Pogba,Juventus,France,,2015,0.72,
16.0,Gareth Bale,Real Madrid,Wales,,2015,0.65,
17.0,Arturo Vidal,Juventus~~~Bayern Munich,Chile,,2015,0.58,
18.0,Kevin De Bruyne,VfL Wolfsburg~~~Manchester City,Belgium,,2015,0.47,
19.0,James Rodríguez,Real Madrid,Colombia,,2015,0.45,
20.0,Karim Benzema,Real Madrid,France,,2015,0.4,
21.0,Toni Kroos,Real Madrid,Germany,,2015,0.2931,
22.0,Arjen Robben,Bayern Munich,Netherlands,,2015,0.293,
23.0,Ivan Rakitić,Barcelona,Croatia,,2015,0.05,
1.0,Cristiano Ronaldo,Real Madrid,,745.0,2016,47.8484,
2.0,Lionel Messi,Barcelona,,316.0,2016,20.2954,
3.0,Antoine Griezmann,Atlético Madrid,,198.0,2016,12.7168,
4.0,Luis Suárez,Barcelona,,91.0,2016,5.8446,
5.0,Neymar,Barcelona,,68.0,2016,4.3674,
6.0,Gareth Bale,Real Madrid,,60.0,2016,3.8536,
7.0,Riyad Mahrez,Leicester City,,20.0,2016,1.2845,
8.0,Jamie Vardy,Leicester City,,11.0,2016,0.7065,
9.0,Gianluigi Buffon,Juventus,,8.0,2016,0.5138,
9.0,Pepe,Real Madrid,,8.0,2016,0.5138,
11.0,Pierre-Emerick Aubameyang,Borussia Dortmund,,7.0,2016,0.4496,
12.0,Rui Patrício,Sporting CP,,6.0,2016,0.3854,
13.0,Zlatan Ibrahimović,Paris Saint-Germain~~~Manchester United,,5.0,2016,0.3211,
14.0,Paul Pogba,Juventus~~~Manchester United,,4.0,2016,0.2569,
14.0,Arturo Vidal,Bayern Munich,,4.0,2016,0.2569,
16.0,Robert Lewandowski,Bayern Munich,,3.0,2016,0.1927,
17.0,Toni Kroos,Real Madrid,,1.0,2016,0.0642,
17.0,Luka Modrić,Real Madrid,,1.0,2016,0.0642,
17.0,Dimitri Payet,West Ham United,,1.0,2016,0.0642,
20.0,Sergio Agüero,Manchester City,,0.0,2016,0.0,
20.0,Kevin De Bruyne,Manchester City,,0.0,2016,0.0,
20.0,Paulo Dybala,Juventus,,0.0,2016,0.0,
20.0,Diego Godín,Atlético Madrid,,0.0,2016,0.0,
20.0,Gonzalo Higuaín,Napoli~~~Juventus,,0.0,2016,0.0,
20.0,Andrés Iniesta,Barcelona,,0.0,2016,0.0,
20.0,Koke,Atlético Madrid,,0.0,2016,0.0,
20.0,Hugo Lloris,Tottenham Hotspur,,0.0,2016,0.0,
20.0,Thomas Müller,Bayern Munich,,0.0,2016,0.0,
20.0,Manuel Neuer,Bayern Munich,,0.0,2016,0.0,
20.0,Sergio Ramos,Real Madrid,,0.0,2016,0.0,
1.0,Cristiano Ronaldo,Real Madrid,,946.0,2017,33.5938,
2.0,Lionel Messi,Barcelona,,670.0,2017,23.7926,
3.0,Neymar,Barcelona~~~Paris Saint-Germain,,361.0,2017,12.8196,
4.0,Gianluigi Buffon,Juventus,,221.0,2017,7.848,
5.0,Luka Modrić,Real Madrid,,84.0,2017,2.983,
6.0,Sergio Ramos,Real Madrid,,71.0,2017,2.5213,
7.0,Kylian Mbappé,Monaco~~~Paris Saint-Germain,,48.0,2017,1.7045,
8.0,N'Golo Kanté,Chelsea,,47.0,2017,1.669,
9.0,Robert Lewandowski,Bayern Munich,,45.0,2017,1.598,
10.0,Harry Kane,Tottenham Hotspur,,36.0,2017,1.2784,
11.0,Edinson Cavani,Paris Saint-Germain,,32.0,2017,1.1364,
12.0,Isco,Real Madrid,,28.0,2017,0.9943,
13.0,Luis Suárez,Barcelona,,27.0,2017,0.9588,
14.0,Kevin De Bruyne,Manchester City,,25.0,2017,0.8878,
15.0,Paulo Dybala,Juventus,,23.0,2017,0.8168,
16.0,Marcelo,Real Madrid,,21.0,2017,0.7457,
17.0,Toni Kroos,Real Madrid,,20.0,2017,0.7102,
18.0,Antoine Griezmann,Atlético Madrid,,17.0,2017,0.6037,
19.0,Eden Hazard,Chelsea,,16.0,2017,0.5682,
20.0,David de Gea,Manchester United,,15.0,2017,0.5327,
21.0,Pierre-Emerick Aubameyang,Borussia Dortmund,,14.0,2017,0.4972,
21.0,Leonardo Bonucci,Juventus~~~Milan,,14.0,2017,0.4972,
23.0,Sadio Mané,Liverpool,,10.0,2017,0.3551,
24.0,Radamel Falcao,Monaco,,9.0,2017,0.3196,
25.0,Karim Benzema,Real Madrid,,7.0,2017,0.2486,
26.0,Jan Oblak,Atlético Madrid,,4.0,2017,0.142,
27.0,Mats Hummels,Bayern Munich,,3.0,2017,0.1065,
28.0,Edin Džeko,Roma,,2.0,2017,0.071,
29.0,Philippe Coutinho,Liverpool,,0.0,2017,0.0,
29.0,Dries Mertens,Napoli,,0.0,2017,0.0,
1.0,Luka Modrić,Real Madrid,,,2018,,
2.0,Cristiano Ronaldo,Real Madrid~~~Juventus,,476.0,2018,22.3789,
3.0,Antoine Griezmann,Atlético Madrid,,414.0,2018,19.464,
4.0,Kylian Mbappé,Paris Saint-Germain,,347.0,2018,16.3141,
5.0,Lionel Messi,Barcelona,,280.0,2018,13.1641,
6.0,Mohamed Salah,Liverpool,,188.0,2018,8.8387,
7.0,Raphaël Varane,Real Madrid,,121.0,2018,5.6888,
8.0,Eden Hazard,Chelsea,,119.0,2018,5.5947,
9.0,Kevin De Bruyne,Manchester City,,29.0,2018,1.3634,
10.0,Harry Kane,Tottenham Hotspur,,25.0,2018,1.1754,
11.0,N'Golo Kanté,Chelsea,,24.0,2018,1.1283,
12.0,Neymar,Paris Saint-Germain,,19.0,2018,0.8933,
13.0,Luis Suárez,Barcelona,,17.0,2018,0.7992,
14.0,Thibaut Courtois,Chelsea~~~Real Madrid,,12.0,2018,0.5642,
15.0,Paul Pogba,Manchester United,,9.0,2018,0.4231,
16.0,Sergio Agüero,Manchester City,,7.0,2018,0.3291,
17.0,Gareth Bale,Real Madrid,,6.0,2018,0.2821,
17.0,Karim Benzema,Real Madrid,,6.0,2018,0.2821,
19.0,Roberto Firmino,Liverpool,,4.0,2018,0.1881,
19.0,Ivan Rakitić,Barcelona,,4.0,2018,0.1881,
19.0,Sergio Ramos,Real Madrid,,4.0,2018,0.1881,
22.0,Edinson Cavani,Paris Saint-Germain,,3.0,2018,0.141,
22.0,Sadio Mané,Liverpool,,3.0,2018,0.141,
22.0,Marcelo,Real Madrid,,3.0,2018,0.141,
25.0,Alisson,Roma~~~Liverpool,,2.0,2018,0.094,
25.0,Mario Mandžukić,Juventus,,2.0,2018,0.094,
25.0,Jan Oblak,Atlético Madrid,,2.0,2018,0.094,
28.0,Diego Godín,Atlético Madrid,,1.0,2018,0.047,
29.0,Isco,Real Madrid,,0.0,2018,0.0,
29.0,Hugo Lloris,Tottenham Hotspur,,0.0,2018,0.0,
1.0,Lionel Messi,Barcelona,,686.0,2019,24.3608,
2.0,Virgil van Dijk,Liverpool,,679.0,2019,24.1122,
3.0,Cristiano Ronaldo,Juventus,,476.0,2019,16.9034,
4.0,Sadio Mané,Liverpool,,347.0,2019,12.3224,
5.0,Mohamed Salah,Liverpool,,178.0,2019,6.321,
6.0,Kylian Mbappé,Paris Saint-Germain,,89.0,2019,3.1605,
7.0,Alisson,Liverpool,,67.0,2019,2.3793,
8.0,Robert Lewandowski,Bayern Munich,,44.0,2019,1.5625,
9.0,Bernardo Silva,Manchester City,,41.0,2019,1.456,
10.0,Riyad Mahrez,Manchester City,,33.0,2019,1.1719,
11.0,Frenkie de Jong,Ajax~~~Barcelona,,31.0,2019,1.1009,
12.0,Raheem Sterling,Manchester City,,30.0,2019,1.0653,
13.0,Eden Hazard,Chelsea~~~Real Madrid,,25.0,2019,0.8878,
14.0,Kevin De Bruyne,Manchester City,,14.0,2019,0.4972,
15.0,Matthijs de Ligt,Ajax~~~Juventus,,13.0,2019,0.4616,
16.0,Sergio Agüero,Manchester City,,12.0,2019,0.4261,
17.0,Roberto Firmino,Liverpool,,11.0,2019,0.3906,
18.0,Antoine Griezmann,Atlético Madrid~~~Barcelona,,9.0,2019,0.3196,
19.0,Trent Alexander-Arnold,Liverpool,,8.0,2019,0.2841,
20.0,Pierre-Emerick Aubameyang,Arsenal,,5.0,2019,0.1776,
20.0,Dušan Tadić,Ajax,,5.0,2019,0.1776,
22.0,Son Heung-min,Tottenham Hotspur,,4.0,2019,0.142,
23.0,Hugo Lloris,Tottenham Hotspur,,3.0,2019,0.1065,
24.0,Kalidou Koulibaly,Napoli,,2.0,2019,0.071,
24.0,Marc-André ter Stegen,Barcelona,,2.0,2019,0.071,
26.0,Karim Benzema,Real Madrid,,1.0,2019,0.0355,
26.0,Georginio Wijnaldum,Liverpool,,1.0,2019,0.0355,
28.0,João Félix,Benfica~~~Atlético Madrid,,0.0,2019,0.0,
28.0,Marquinhos,Paris Saint-Germain,,0.0,2019,0.0,
28.0,Donny van de Beek,Ajax,,0.0,2019,0.0,
1.0,Lionel Messi,Barcelona~~~Paris Saint-Germain,,613.0,2021,22.5368,
2.0,Robert Lewandowski,Bayern Munich,,580.0,2021,21.3235,
3.0,Jorginho,Chelsea,,460.0,2021,16.9118,
4.0,Karim Benzema,Real Madrid,,239.0,2021,8.7868,
5.0,N'Golo Kanté,Chelsea,,186.0,2021,6.8382,
6.0,Cristiano Ronaldo,Juventus~~~Manchester United,,178.0,2021,6.5441,
7.0,Mohamed Salah,Liverpool,,121.0,2021,4.4485,
8.0,Kevin De Bruyne,Manchester City,,73.0,2021,2.6838,
9.0,Kylian Mbappé,Paris Saint-Germain,,58.0,2021,2.1324,
10.0,Gianluigi Donnarumma,Milan~~~Paris Saint-Germain,,36.0,2021,1.3235,
11.0,Erling Haaland,Borussia Dortmund,,33.0,2021,1.2132,
12.0,Romelu Lukaku,Inter Milan~~~Chelsea,,26.0,2021,0.9559,
12.0,Giorgio Chiellini,Juventus,,26.0,2021,0.9559,
14.0,Leonardo Bonucci,Juventus,,18.0,2021,0.6618,
15.0,Raheem Sterling,Manchester City,,10.0,2021,0.3676,
16.0,Neymar,Paris Saint-Germain,,9.0,2021,0.3309,
17.0,Luis Suárez,Atlético Madrid,,8.0,2021,0.2941,
17.0,Simon Kjær,Milan,,8.0,2021,0.2941,
19.0,Mason Mount,Chelsea,,7.0,2021,0.2574,
19.0,Riyad Mahrez,Manchester City,,7.0,2021,0.2574,
21.0,Bruno Fernandes,Manchester United,,6.0,2021,0.2206,
21.0,Lautaro Martínez,Inter Milan,,6.0,2021,0.2206,
23.0,Harry Kane,Tottenham Hotspur,,4.0,2021,0.1471,
24.0,Pedri,Barcelona,,3.0,2021,0.1103,
25.0,Phil Foden,Manchester City,,2.0,2021,0.0735,
26.0,Gerard Moreno,Villarreal,,1.0,2021,0.0368,
26.0,Nicolò Barella,Inter Milan,,1.0,2021,0.0368,
26.0,Rúben Dias,Manchester City,,1.0,2021,0.0368,
29.0,Luka Modrić,Real Madrid,,0.0,2021,0.0,
29.0,Cesar Azpilicueta,Chelsea,,0.0,2021,0.0,
1.0,Karim Benzema,Real Madrid,France,549.0,2022,36.8952,Forward
2.0,Sadio Mané,Liverpool,Senegal,193.0,2022,12.9704,Forward
3.0,Kevin De Bruyne,Manchester City,Belgium,175.0,2022,11.7608,Midfielder
4.0,Robert Lewandowski,Bayern Munich,Poland,170.0,2022,11.4247,Forward
5.0,Mohamed Salah,Liverpool,Egypt,116.0,2022,7.7957,Forward
6.0,Kylian Mbappé,Paris Saint-Germain,France,85.0,2022,5.7124,Forward
7.0,Thibaut Courtois,Real Madrid,Belgium,82.0,2022,5.5108,Goalkeeper
8.0,Vinícius Júnior,Real Madrid,Brazil,61.0,2022,4.0995,Midfielder
9.0,Luka Modrić,Real Madrid,Croatia,20.0,2022,1.3441,Midfielder
10.0,Erling Haaland,Borussia Dortmund,Norway,18.0,2022,1.2097,Forward
11.0,Son Heung-min,Tottenham Hotspur,South Korea,5.0,2022,0.336,Forward
12.0,Riyad Mahrez,Manchester City,Algeria,4.0,2022,0.2688,Midfielder
13.0,Sébastien Haller,Ajax,Ivory Coast,2.0,2022,0.1344,Forward
14.0,Fabinho,Liverpool,Brazil,2.0,2022,0.1344,Midfielder
14.0,Rafael Leão,AC Milan,Portugal,2.0,2022,0.1344,Forward
16.0,Virgil van Dijk,Liverpool,Netherlands,1.0,2022,0.0672,Defender
17.0,Casemiro,Real Madrid,Brazil,1.0,2022,0.0672,Midfielder
17.0,Luis Díaz,Liverpool,Colombia,1.0,2022,0.0672,Midfielder
17.0,Dušan Vlahović,Juventus,Serbia,1.0,2022,0.0672,Forward
20.0,Cristiano Ronaldo,Manchester United,Portugal,0.0,2022,0.0,Forward
21.0,Harry Kane,Tottenham Hotspur,England,0.0,2022,0.0,Forward
22.0,Trent Alexander-Arnold,Liverpool,England,0.0,2022,0.0,Defender
22.0,Phil Foden,Manchester City,England,0.0,2022,0.0,Midfielder
22.0,Bernardo Silva,Manchester City,Portugal,0.0,2022,0.0,Midfielder
25.0,João Cancelo,Manchester City,Portugal,0.0,2022,0.0,Defender
25.0,Joshua Kimmich,Bayern Munich,Germany,0.0,2022,0.0,Midfielder
25.0,Mike Maignan,AC Milan,France,0.0,2022,0.0,Goalkeeper
25.0,Christopher Nkunku,RB Leipzig,France,0.0,2022,0.0,Forward
25.0,Darwin Núñez,Benfica,Uruguay,0.0,2022,0.0,Forward
25.0,Antonio Rüdiger,Chelsea,Germany,0.0,2022,0.0,Defender
1.0,Lionel Messi,Inter Miami,Argentina,462.0,2023,31.3859,Forward
2.0,Erling Haaland,Manchester City,Norway,357.0,2023,24.2527,Forward
3.0,Kylian Mbappé,Paris Saint-Germain,France,270.0,2023,18.3424,Forward
4.0,Kevin De Bruyne,Manchester City,Belgium,100.0,2023,6.7935,Midfielder
5.0,Rodri,Manchester City,Spain,57.0,2023,3.8723,Midfielder
6.0,Vinícius Júnior,Real Madrid,Brazil,49.0,2023,3.3288,Forward
7.0,Julián Álvarez,Manchester City,Argentina,28.0,2023,1.9022,Forward
8.0,Victor Osimhen,Napoli,Nigeria,24.0,2023,1.6304,Forward
9.0,Bernardo Silva,Manchester City,Portugal,20.0,2023,1.3587,Midfielder
10.0,Luka Modrić,Real Madrid,Croatia,19.0,2023,1.2908,Midfielder
11.0,Mohamed Salah,Liverpool,Egypt,13.0,2023,0.8832,Forward
12.0,Robert Lewandowski,Barcelona,Poland,12.0,2023,0.8152,Forward
13.0,Yassine Bounou,Sevilla,Morocco,10.0,2023,0.6793,Goalkeeper
14.0,İlkay Gündoğan,Manchester City,Germany,8.0,2023,0.5435,Midfielder
15.0,Emiliano Martínez,Aston Villa,Argentina,7.0,2023,0.4755,Goalkeeper
16.0,Karim Benzema,Al-Ittihad,France,6.0,2023,0.4076,Forward
17.0,Khvicha Kvaratskhelia,Napoli,Georgia,6.0,2023,0.4076,Forward
18.0,Jude Bellingham,Real Madrid,England,5.0,2023,0.3397,Midfielder
19.0,Harry Kane,Tottenham Hotspur,England,4.0,2023,0.2717,Forward
20.0,Lautaro Martínez,Inter Milan,Argentina,4.0,2023,0.2717,Forward
21.0,Antoine Griezmann,Atlético Madrid,France,4.0,2023,0.2717,Forward
22.0,Kim Min-jae,Bayern Munich,South Korea,3.0,2023,0.2038,Defender
23.0,André Onana,Manchester United,Cameroon,2.0,2023,0.1359,Goalkeeper
24.0,Bukayo Saka,Arsenal,England,1.0,2023,0.0679,Forward
25.0,Joško Gvardiol,RB Leipzig,Croatia,1.0,2023,0.0679,Defender
26.0,Jamal Musiala,Bayern Munich,Germany,0.0,2023,0.0,Midfielder
27.0,Nicolò Barella,Inter Milan,Italy,0.0,2023,0.0,Midfielder
28.0,Randal Kolo Muani,Eintracht Frankfurt,France,0.0,2023,0.0,Forward
28.0,Martin Ødegaard,Arsenal,Norway,0.0,2023,0.0,Midfielder
30.0,Rúben Dias,Manchester City,Portugal,0.0,2023,0.0,Defender
1.0,Rodri,Manchester City,Spain,1170.0,2024,17.6391,Midfielder
2.0,Vinícius Júnior,Real Madrid,Brazil,1129.0,2024,17.021,Forward
3.0,Jude Bellingham,Real Madrid,England,917.0,2024,13.8248,Midfielder
4.0,Dani Carvajal,Real Madrid,Spain,550.0,2024,8.2919,Defender
5.0,Erling Haaland,Manchester City,Norway,432.0,2024,6.5129,Forward
6.0,Kylian Mbappé,Paris Saint-Germain,France,420.0,2024,6.332,Forward
7.0,Lautaro Martínez,Inter Milan,Argentina,402.0,2024,6.0606,Forward
8.0,Lamine Yamal,Barcelona,Spain,383.0,2024,5.7742,Forward
9.0,Toni Kroos,Real Madrid,Germany,291.0,2024,4.3872,Midfielder
10.0,Harry Kane,Bayern Munich,England,201.0,2024,3.0303,Forward
11.0,Phil Foden,Manchester City,England,157.0,2024,2.367,Midfielder
12.0,Florian Wirtz,Bayer Leverkusen,Germany,101.0,2024,1.5227,Midfielder
13.0,Dani Olmo,RB Leipzig,Spain,86.0,2024,1.2965,Midfielder
14.0,Ademola Lookman,Atalanta,Nigeria,82.0,2024,1.2362,Forward
15.0,Nico Williams,Athletic Bilbao,Spain,73.0,2024,1.1006,Forward
16.0,Granit Xhaka,Bayer Leverkusen,Switzerland,60.0,2024,0.9046,Midfielder
17.0,Federico Valverde,Real Madrid,Uruguay,58.0,2024,0.8744,Midfielder
18.0,Emiliano Martínez,Aston Villa,Argentina,28.0,2024,0.4221,Goalkeeper
19.0,Martin Ødegaard,Arsenal,Norway,16.0,2024,0.2412,Midfielder
20.0,Hakan Çalhanoğlu,Inter Milan,Turkey,15.0,2024,0.2261,Midfielder
21.0,Bukayo Saka,Arsenal,England,14.0,2024,0.2111,Forward
22.0,Antonio Rüdiger,Real Madrid,Germany,13.0,2024,0.196,Defender
23.0,Rúben Dias,Manchester City,Portugal,8.0,2024,0.1206,Defender
24.0,William Saliba,Arsenal,France,8.0,2024,0.1206,Defender
25.0,Cole Palmer,Chelsea,England,7.0,2024,0.1055,Forward
26.0,Declan Rice,Arsenal,England,5.0,2024,0.0754,Midfielder
27.0,Vitinha,Paris Saint-Germain,Portugal,5.0,2024,0.0754,Midfielder
28.0,Álex Grimaldo,Bayer Leverkusen,Spain,2.0,2024,0.0302,Defender
29.0,Artem Dovbyk,Girona,Ukraine,0.0,2024,0.0,Forward
29.0,Mats Hummels,Borussia Dortmund,Germany,0.0,2024,0.0,Defender
,Ousmane Dembélé,Paris Saint-Germain,France,,2025,,Forward
,Lamine Yamal,Barcelona,Spain,,2025,,Forward
,Vitinha,Paris Saint-Germain,Portugal,,2025,,Midfielder
,Mohamed Salah,Liverpool,Egypt,,2025,,Forward
,Raphinha,Barcelona,Brazil,,2025,,Forward
,Achraf Hakimi,Paris Saint-Germain,Morocco,,2025,,Defender
,Kylian Mbappé,Real Madrid,France,,2025,,Forward
,Cole Palmer,Chelsea,England,,2025,,Forward
,Gianluigi Donnarumma,Paris Saint-Germain,Italy,,2025,,Goalkeeper
,Nuno Mendes,Paris Saint-Germain,Portugal,,2025,,Defender
,Pedri,Barcelona,Spain,,2025,,Midfielder
,Khvicha Kvaratskhelia,Napoli~~~Paris Saint-Germain,Georgia,,2025,,Forward
,Harry Kane,Bayern Munich,England,,2025,,Forward
,Désiré Doué,Paris Saint-Germain,France,,2025,,Midfielder
,Viktor Gyökeres,Sporting CP,Sweden,,2025,,Forward
,Vinicius Junior,Real Madrid,Brazil,,2025,,Forward
,Robert Lewandowski,Barcelona,Poland,,2025,,Forward
,Scott McTominay,Manchester United~~~Napoli,Scotland,,2025,,Midfielder
,João Neves,Paris Saint-Germain,Portugal,,2025,,Midfielder
,Lautaro Martínez,Inter Milan,Argentina,,2025,,Forward
,Serhou Guirassy,Borussia Dortmund,Guinea,,2025,,Forward
,Alexis Mac Allister,Liverpool,Argentina,,2025,,Midfielder
,Jude Bellingham,Real Madrid,England,,2025,,Midfielder
,Fabián Ruiz,Paris Saint-Germain,Spain,,2025,,Midfielder
,Denzel Dumfries,Inter Milan,Netherlands,,2025,,Defender
,Erling Haaland,Manchester City,Norway,,2025,,Forward
,Declan Rice,Arsenal,England,,2025,,Midfielder
,Virgil van Dijk,Liverpool,Netherlands,,2025,,Defender
,Florian Wirtz,Bayer Leverkusen,Germany,,2025,,Midfielder
,Michael Olise,Bayern Munich,France,,2025,,Forward
1.0,Pavel Nedvěd,Juventus,Czech Republic,190.0,2003,24.359,
2.0,Thierry Henry,Arsenal,France,128.0,2003,16.4103,
3.0,Paolo Maldini,Milan,Italy,123.0,2003,15.7692,
4.0,Andriy Shevchenko,Milan,Ukraine,67.0,2003,8.5897,
5.0,Zinedine Zidane,Real Madrid,France,64.0,2003,8.2051,
6.0,Ruud van Nistelrooy,Manchester United,Netherlands,61.0,2003,7.8205,
7.0,Raúl,Real Madrid,Spain,32.0,2003,4.1026,
8.0,Roberto Carlos,Real Madrid,Brazil,27.0,2003,3.4615,
9.0,Gianluigi Buffon,Juventus,Italy,19.0,2003,2.4359,
10.0,David Beckham,Manchester United~~~Real Madrid,England,17.0,2003,2.1795,
11.0,Ronaldo,Real Madrid,Brazil,11.0,2003,1.4103,
12.0,Henrik Larsson,Celtic,Sweden,6.0,2003,0.7692,
13.0,Alessandro Del Piero,Juventus,Italy,4.0,2003,0.5128,
13.0,Dida,Milan,Brazil,4.0,2003,0.5128,
13.0,Roy Makaay,Deportivo La Coruña~~~Bayern Munich,Netherlands,4.0,2003,0.5128,
13.0,Alessandro Nesta,Milan,Italy,4.0,2003,0.5128,
13.0,Deco,Porto,Portugal,4.0,2003,0.5128,
18.0,Nihat Kahveci,Real Sociedad,Turkey,3.0,2003,0.3846,
18.0,Francesco Totti,Roma,Italy,3.0,2003,0.3846,
20.0,Michael Ballack,Bayern Munich,Germany,2.0,2003,0.2564,
20.0,Zlatan Ibrahimović,Ajax,Sweden,2.0,2003,0.2564,
22.0,Filippo Inzaghi,Milan,Italy,1.0,2003,0.1282,
22.0,Jan Koller,Borussia Dortmund,Czech Republic,1.0,2003,0.1282,
22.0,Adrian Mutu,Parma~~~Chelsea,Romania,1.0,2003,0.1282,
22.0,Ronaldinho,Paris Saint-Germain~~~Barcelona,Brazil,1.0,2003,0.1282,
22.0,Francesco Toldo,Internazionale,Italy,1.0,2003,0.1282,
27.0,Sol Campbell,Arsenal,England,0.0,2003,0.0,
27.0,Iker Casillas,Real Madrid,Spain,0.0,2003,0.0,
27.0,Cristian Chivu,Ajax~~~Roma,Romania,0.0,2003,0.0,
27.0,Samuel Eto'o,Mallorca,Cameroon,0.0,2003,0.0,
27.0,Luís Figo,Real Madrid,Portugal,0.0,2003,0.0,
27.0,Giovane Élber,Bayern Munich~~~Lyon,Brazil,0.0,2003,0.0,
27.0,Ludovic Giuly,Monaco,France,0.0,2003,0.0,
27.0,Oliver Kahn,Bayern Munich,Germany,0.0,2003,0.0,
27.0,Patrick Kluivert,Barcelona,Netherlands,0.0,2003,0.0,
27.0,Darko Kovačević,Real Sociedad,Serbia and Montenegro,0.0,2003,0.0,
27.0,Claude Makélélé,Real Madrid~~~Chelsea,France,0.0,2003,0.0,
27.0,Michael Owen,Liverpool,England,0.0,2003,0.0,
27.0,Pauleta,Bordeaux~~~Paris Saint-Germain,Portugal,0.0,2003,0.0,
27.0,Robert Pires,Arsenal,France,0.0,2003,0.0,
27.0,Míchel Salgado,Real Madrid,Spain,0.0,2003,0.0,
27.0,Paul Scholes,Manchester United,England,0.0,2003,0.0,
27.0,Lilian Thuram,Juventus,France,0.0,2003,0.0,
27.0,Hatem Trabelsi,Ajax,Tunisia,0.0,2003,0.0,
27.0,David Trezeguet,Juventus,France,0.0,2003,0.0,
27.0,Patrick Vieira,Arsenal,France,0.0,2003,0.0,
27.0,Christian Vieri,Internazionale,Italy,0.0,2003,0.0,
27.0,Sylvain Wiltord,Arsenal,France,0.0,2003,0.0,
27.0,Gianluca Zambrotta,Juventus,Italy,0.0,2003,0.0,
1.0,Andriy Shevchenko,Milan,Ukraine,175.0,2004,22.4359,
2.0,Deco,Porto~~~Barcelona,Portugal,139.0,2004,17.8205,
